page_name,likes,email,category,location,phone,fb_page,website
,,,,,,,
,,,,, 0300 3592402,https://www.facebook.com/Alhabibrestaurant/?ref=br_rs,
,,,,,,,
Village Restaurant,"26,951",info@village.com.pk,Pakistani restaurant · Continental restaurant,, 0345 8221377,https://www.facebook.com/villagerestaurant1960/?ref=br_rs,
,,,,,,,
KBC Restaurant,"164,988",,Pakistani restaurant · Fast food restaurant,,    111-328-522   ...      ,https://www.facebook.com/KbcRestaurant/?ref=br_rs,http://www.eatkbc.pk
,,,,,,,
Sobremesa,"68,909",info@sobremesapk.com,Restaurant,"46-C, Lane 1, Bukhari Commercial, Phase VI, D.H.A. Karachi, Pakistan ", 0321 8990365,https://www.facebook.com/SobremesaPK/?ref=br_rs,http://www.sobremesapk.com
,,,,,,,
Chef Zakir’s Restaurant,"40,526",,Cafe · Bar & Grill,, 0300 8277793,https://www.facebook.com/CafeCZkarachi/?ref=br_rs,
,,,,,,,
Kolachi Restaurant,"196,659",,American restaurant · Pakistani restaurant · Asian restaurant,"Beach Avenue,Phase 8,Creak Side, DHA Karachi Karachi, Pakistan ",     111-111-001  03032766571-02132003628-02136069645,https://www.facebook.com/Restaurant.Kolachi/?ref=br_rs,
,,,,,,,
Kababjees,"196,053",Marketing@kababjees.com,Pakistani restaurant · Asian restaurant · American restaurant,"Shaheed-E-Millat (Near New Memon Masjid), Do Darya ( Next to Kolachi) North Nazimabad (Near Matric board office) Karachi, Pakistan ", (021) 111 666 111,https://www.facebook.com/kababjees/?ref=br_rs,http://www.kababjees.com
,,,,,,,
Koyla Chai,"80,509",,Restaurant,"D2, Block 2, Clifton Next to Shell Pump, Bilawal Chowrangi, Karachi Karachi, Pakistan ", 0320 2828280,https://www.facebook.com/Koylachai/?ref=br_rs,
,,,,,,,
Shezan Ampis Restaurant,"197,491",abidshahnawaz42@gmail.com,Continental restaurant · Steakhouse,"services mess building,opposite metropole hotel,opposite village restaurant near avari towers,saddar Karachi, Pakistan ", 0314 2688888,https://www.facebook.com/shezan23/?ref=br_rs,
,,,,,,,
Nawab's Dynasty Restaurant,"35,372",,Pakistani restaurant,"Plot 3 C, Zamzama Commercial Area Phase 5 Defence Housing Authority, Karachi, Karachi City, Sindh 75600, Pakistan Karachi, Pakistan ", 0345 3069814,https://www.facebook.com/nawabsdynasty/?ref=br_rs,https://www.instagram.com/nawabsdynastykhi
,,,,,,,
LalQila Karachi,"392,822",info@lalqila.com,Family style restaurant · Buffet restaurant,,111525745,https://www.facebook.com/LalQilaRestaurantKarachi/?ref=br_rs,https://lalqila.com/karachi
,,,,,,,
Bar.B.Q Tonight,"215,932",info@bbqtonight.com,Restaurant,"Com 5/1, Sh-e-Firdousi, Boat Basin, Clifton Block-5 Karachi, Pakistan ", (021) 111 227 111,https://www.facebook.com/LoveBbQTonight/?ref=br_rs,http://www.bbqtonight.com
,,,,,,,
Bella Vita,"96,907",bellavitagelateria16@gmail.com,Continental restaurant · Coffee shop,"Bella Vita, Khayaban-e-Shahbaz Karachi, Pakistan ", (021) 111 435 286,https://www.facebook.com/bellavitagelateria/?ref=br_rs,http://bellavita.com.pk
,,,,,,,
Pearl-Continental Hotel Karachi,"130,981",pchk@pchotels.com,Continental restaurant · Gym/Physical fitness centre · Hotel and B&B,"Pearl Continental Hotel Karachi, Pakistan ",,https://www.facebook.com/PCHotelKarachi/?ref=br_rs,http://www.pchotels.com/pckarachi
,,,,,,,
The Retreat,"123,483",info@theretreat.pk,Gym/Physical fitness centre,"D2, Block 2, Clifton Next to Shell Pump, Bilawal Chowrangi, Karachi Karachi, Pakistan ", 0320 2828280,https://www.facebook.com/retreat.pk/?ref=br_rs,http://www.theretreat.pk
,,,,,,,
Snack Attack,"109,462",,Fast food restaurant · Burger restaurant,"| Dolmen Mall Tariq Road, Karachi, Sindh | Kenya | Johar Town, Quetta Karachi, Pakistan ",,https://www.facebook.com/snackattackpakistan/?ref=br_rs,http://www.snackattack.com.pk
,,,,,,,
Cafeela,"17,621",cafeelafood@gmail.com,Pakistani restaurant,"21 C, LANE 2, Shahbaz commercial, Phase 6, DHA Karachi, Pakistan ", (021) 35845618,https://www.facebook.com/Cafeela/?ref=br_rs,http://Cafeela.pk
,,,,,,,
Mashriq Restaurant,"24,399",restaurantmashriq@gmail.com,Restaurant,"Beach Avenue, Phase 8, Creek Side, DHA, Karachi, Pakistan Karachi, Pakistan ", 0316 6622551,https://www.facebook.com/mashriqrestaurant/?ref=br_rs,
,,,,,,,
SkyView Restaurant,"6,452",,Afghani restaurant · Pakistani restaurant,"Plot No. SBI, Gulshan-e-Rufi, Near New Bridge, Main Super Highway, Karachi Karachi, Pakistan ",,https://www.facebook.com/SkyViewRestaurantKhi/?ref=br_rs,
,,,,,,,
